,movieId,imdbId,tmdbId
0,1,114709,862
1,2,113497,8844
2,3,113228,15602
3,4,114885,31357
4,5,113041,11862
5,6,113277,949
6,7,114319,11860
7,8,112302,45325
8,9,114576,9091
9,10,113189,710
10,11,112346,9087
11,12,112896,12110
12,13,112453,21032
13,14,113987,10858
14,15,112760,1408
15,16,112641,524
16,17,114388,4584
17,18,113101,5
18,19,112281,9273
19,20,113845,11517
20,21,113161,8012
21,22,112722,1710
22,23,112401,9691
23,24,114168,12665
24,25,113627,451
25,26,114057,16420
26,27,114011,9263
27,28,114117,17015
28,29,112682,902
29,30,115012,37557
30,31,112792,9909
31,32,114746,63
32,34,112431,9598
33,36,112818,687
34,38,113442,33689
35,39,112697,9603
36,40,112749,34615
37,41,114279,31174
38,42,112819,11443
39,43,114272,35196
40,44,113855,9312
41,45,114681,577
42,46,113347,11861
43,47,114369,807
44,48,114148,10530
45,49,114916,8391
46,50,114814,629
47,52,113819,11448
48,53,110299,49133
49,54,112499,26441
50,55,113158,97406
51,57,113321,9089
52,58,110877,11010
53,60,113419,11359
54,61,116260,17182
55,62,113862,2054
56,63,116126,10607
57,64,118002,19760
58,65,115683,9536
59,66,116839,11525
60,68,113149,4482
61,69,113118,10634
62,70,116367,755
63,71,113010,11859
64,72,113537,28387
65,73,113828,48750
66,74,115644,20927
67,75,115676,36929
68,76,114367,9102
69,77,113973,124626
70,78,112744,27526
71,79,116731,9623
72,80,112445,46785
73,81,114660,400
74,82,112379,880
75,83,114039,146599
76,85,112365,8447
77,86,118158,10534
78,87,116151,17414
79,88,115697,13997
80,89,113972,2086
81,92,117002,9095
82,93,114825,12158
83,94,115639,9283
84,95,115759,9208
85,96,113403,40154
86,97,113247,406
87,99,113283,63076
88,100,115907,11062
89,101,115734,13685
90,102,117102,47475
91,103,118040,2045
92,104,116483,9614
93,105,112579,688
94,106,110251,11907
95,107,117110,10874
96,108,112646,89333
97,110,112573,197
98,111,75314,103
99,112,113326,33542
100,113,115645,43566
101,116,112373,51352
102,117,115033,16934
103,118,116606,10324
104,119,114536,78406
105,121,106473,32119
106,122,103859,11066
107,123,109424,11104
108,125,116324,2074
109,126,110647,27793
110,128,110217,290157
111,129,114131,110972
112,132,113451,11863
113,135,116130,9101
114,137,113756,5757
115,140,118055,9302
116,141,115685,11000
117,144,112585,16388
118,145,112442,9737
119,146,112342,30765
120,147,112461,10474
121,148,112427,22279
122,149,109093,30157
123,150,112384,568
124,151,114287,11780
125,152,112288,34996
126,153,112462,414
127,154,61395,649
128,155,112495,1873
129,156,112541,5894
130,157,109370,1775
131,158,112642,8839
132,159,112688,20649
133,160,112715,10329
134,161,112740,8963
135,162,109508,26564
136,163,112851,8068
137,164,112857,8512
138,165,112864,1572
139,166,112887,13552
140,168,113071,6520
141,169,113114,9073
142,170,113243,10428
143,171,113464,17447
144,172,113481,9886
145,173,113492,9482
146,174,113500,19326
147,175,113540,9344
148,176,113677,9071
149,177,113690,8973
150,178,107447,15730
151,179,113729,47608
152,180,113749,2293
153,181,113820,9070
154,183,110604,48787
155,184,110620,34574
156,185,113957,1642
157,186,113986,11472
158,187,114095,36196
159,188,114194,11980
